,id_str,user_id,text,created_at,lang,entities_hashtags,entities_symbols,location,coordinates,time_zone
0,1245416208473653248,301450093,@kawalpreetdu Hiding Mullas from foreign countries in Masjids and hiding travel history is definitely a part of Corona Jihadh,2020-04-01 18:22:17,en,[],[],India,,
1,1245416210679775232,169625193,"Heard entire call of #MaulanaSaad. He says “Corona is a program to separate Muslims. Masjid me aao..this is best place to be! Marna h toh yaha maro!” He should be jailed for he is sprea hatred &amp; poison
Are you insane? Do u have any brains at all? 
 #NizamuddinIdiots #CoronaJihad",2020-04-01 18:22:17,en,"[{'text': 'MaulanaSaad', 'indices': [21, 33]}, {'text': 'NizamuddinIdiots', 'indices': [253, 270]}, {'text': 'CoronaJihad', 'indices': [271, 283]}]",[],india,,
2,1245416412128006144,1016589775,That does not mean Tabligi and Jamaat people are innocents. They have deliberately disobeyed law and rules. They did not follow the lockdown. They spread Corona from Kashmir to Kanyakumari. They can't be spared. They must be punished. Foreigner Jamaati be black listed. No visa. https://t.co/h4vf93Wn92,2020-04-01 18:23:06,en,[],[],India,,
3,1245416557792178183,1242009898411413504,@AUThackeray Yes sir ...we will stay at home and  fool the corona ( who is waiting outside of our home ) ......👍💐,2020-04-01 18:23:40,en,[],[],"Vashi, Navi Mumbai",,
4,1245416628193505287,4699763197,"@sudhirchaudhary ji, you are analysing about corona pandemic brilliantly in DNA. Only painful is the program sponsor's Ching brand. Though the company is purely Indian but the food type is Chinese.",2020-04-01 18:23:57,en,[],[],,,
5,1245416661542371330,1137275170438041601,Some people think that only PM Cares for Indians and all other Indians are useless people and don't care for their fellow citizens. https://t.co/UJJ8fFeLZk,2020-04-01 18:24:05,en,[],[],"Hyderabad, India",,
6,1245416905503944705,992734314,Namaste is taking world by a storm! Proud to bring back our age old culture to spread d right msg during this tough period through @ShemarooEnt Namaste Campaign. Our campaign is a small initiative to contribute in the world’s battle against Corona virus #Namastekarona  #Shemaroo https://t.co/I91YIa4PTc,2020-04-01 18:25:03,en,"[{'text': 'Namastekarona', 'indices': [254, 268]}, {'text': 'Shemaroo', 'indices': [270, 279]}]",[],Mumbai,,
7,1245416980410028032,2720527185,"Indian Council for Cultural Relations @ICCR_Delhi 
 is holding a Global Art Competition “UNITED AGAINST CORONA - EXPRESS THROUGH ART”  promoting #ArtinthetimeofCorona. Express yourselves and win prizes. See https://t.co/i99nqT1x9r for details. https://t.co/59Yqm15Sjb https://t.co/nYdWYoqUo6",2020-04-01 18:25:21,en,"[{'text': 'ArtinthetimeofCorona', 'indices': [145, 166]}]",[],India,,
8,1245417040350826496,912381336077328385,IMO all states govt n central govt is going their job. N v Indians (citizens of this country)  not. Pls help defeat corona #COVID19Pandemic #COVIDー19 #CoronaInMaharashtra @CMOMaharashtra @uddhavthackeray @OfficeofUT @AUThackeray @PMOIndia @narendramodi @AmitShah @AmitShahOffice,2020-04-01 18:25:35,en,"[{'text': 'COVID19Pandemic', 'indices': [123, 139]}, {'text': 'COVIDー19', 'indices': [140, 149]}, {'text': 'CoronaInMaharashtra', 'indices': [150, 170]}]",[],"Malad West, Mumbai",,
9,1245417206617276417,429970746,How much he as MP have contributed to Corona fund https://t.co/DFQUUXjxrh,2020-04-01 18:26:15,en,[],[],Chennai,,
10,1245417468434120704,1178679640228954113,"Modi ji please declare terrorist to those who are hiding with corona and not cooperating with govt officials. #NarendraModi
#AskZee",2020-04-01 18:27:17,en,"[{'text': 'NarendraModi', 'indices': [110, 123]}, {'text': 'AskZee', 'indices': [124, 131]}]",[],,,
11,1245417516995710976,838750335107743745,"@SachinPilot @ashokgehlot51 @RaghusharmaINC Need to establish a special task force to fight #Corona Sarpanchs, parshads, Mla, MPs, and Nagarpalikas need to involve now on individual level.",2020-04-01 18:27:29,en,"[{'text': 'Corona', 'indices': [92, 99]}]",[],"Mumbai, India",,
12,1245417622935498756,1085060145313386503,@awasthis plz focus here as well...so much funds received in PM care from many corporates such as tata donated 500 crore but why no help reached on ground...this is alarming situation for doctors safety...who will protect country then ? Everyone is taking this corona lightly https://t.co/8ZwOxJxf8a,2020-04-01 18:27:54,en,[],[],bharat ,,
13,1245417810995474432,1182221923062706176,Gave Rs 1 crore to district collector from my MPLAD for improving medical facilities in Aurangabad district to fight against Corona Virus. @asadowaisi @imtiaz_jaleel @ShaibazShah7 @iamzzeeshan https://t.co/tK4MG2BqnQ,2020-04-01 18:28:39,en,[],[],"Jalgaon, India",,
14,1245418431110762496,2785002264,"@himantabiswa @prag_newsAssam Sir,d interview with Pranay Bordoloi was very elaborate,in depth and of precise analysis of your knowledge and wisdom.From in depth c knowledge of corona epidemic &amp;vaccine preparation,from flood  to hospital and finance management,you covered all.",2020-04-01 18:31:07,en,[],[],"Dibrugarh, India",,
15,1245418638821052416,1245046485391003648,Corona enters into Assam on 31st March ..... Hope everything will be fine,2020-04-01 18:31:56,en,[],[],"Goalpara, assam",,
16,1245418668256886785,1202913911873228805,"""Protect Yourself and Others from the Corona Virus (Covid-19)""

Stay Home. Stay Safe. Break the Chain !!

#dentists #dental #dentistry #CentralDentalClinicKalyan #EmergencyDentist  #coronavirus #covid19… https://t.co/HpVxKEsKo6",2020-04-01 18:32:03,en,"[{'text': 'dentists', 'indices': [106, 115]}, {'text': 'dental', 'indices': [116, 123]}, {'text': 'dentistry', 'indices': [124, 134]}, {'text': 'CentralDentalClinicKalyan', 'indices': [135, 161]}, {'text': 'EmergencyDentist', 'indices': [162, 179]}, {'text': 'coronavirus', 'indices': [181, 193]}, {'text': 'covid19', 'indices': [194, 202]}]",[],"Kalyan Dombivali, India","{'type': 'Point', 'coordinates': [73.13916206, 19.24336139]}",
17,1245418701756616705,1038848720,"@bhupeshbaghel 

Sir,

Please launch a application for Corona, like others state already launched. https://t.co/FwQEdYId2N",2020-04-01 18:32:11,en,[],[],"Korba, India",,
18,1245418891620134912,2429260963,Corona riots?? Hopefully not!,2020-04-01 18:32:57,en,[],[],,,
19,1245419180263792641,916356612427718656,"@rahulkanwal Rahul Bhai, why are shying away from calling tablighis the biggest conspirators to spread corona virus on india? Got soft heart for them? Accept it",2020-04-01 18:34:06,en,[],[],,,
20,1245419252401598464,827825691018223617,"THE WAY ARMAAN SAYS DELHI IS A DIFFERWNT VIBE ❤️😭

@ArmaanMalik22 do you see that ? 🤪
Corona has stopped me from making that constant request of mine 🤫

#StayHomeStaySafe 🤷🏻‍♀️ https://t.co/5Q8ABpas0h",2020-04-01 18:34:23,en,"[{'text': 'StayHomeStaySafe', 'indices': [153, 170]}]",[],"New Delhi, India",,
21,1245419451492618246,2512236174,"Hey @PMOIndia @narendramodi @myogiadityanath @WHO @Uppolice pls look into this with immediate effect cause they put Quarantine Seal only not Checking abt the Corona Virus, pls check this urgently. https://t.co/4nXurmyUcY",2020-04-01 18:35:10,en,[],[],"Mumbai, India",,
22,1245419482098601986,817028167,"18 nations including USA and UK wants @narendramodi as leader for TASK FORCE for #CORONA
what a proud moment for INDIA ! believe in him and #India will win ! https://t.co/SsMYmYBSL8",2020-04-01 18:35:17,en,"[{'text': 'CORONA', 'indices': [81, 88]}, {'text': 'India', 'indices': [140, 146]}]",[],मातृभूमि के चरणों में....,,
23,1245419551883292672,998035029417709568,The most vibrant antidote for #corona or #COVIDー19 is warm water. You take twice a day and you will get relief from several other diseases too. Wash your hands when you feel it dirty. Sanitizer is not advisable.👇🏻 https://t.co/CE26Kg2e75,2020-04-01 18:35:34,en,"[{'text': 'corona', 'indices': [30, 37]}, {'text': 'COVIDー19', 'indices': [41, 50]}]",[],Cuttack. Odisha,,
24,1245419558195716096,101411664,Copy paste Queen https://t.co/SGMCfbf3mh,2020-04-01 18:35:36,en,[],[],Mumbai,,
25,1245419766333845504,75307378,Sometimes I think China has underdisclosed no of deaths &amp; cases of #ChinaVirus #Corona. My gut feel says deaths in China alone must be close to 1.5 Crores now. It wants to get rid of old ppl to reduce its citizens avge age &amp; gap with India. @colhunnybakshi @BW @WPP @priyankac19 https://t.co/aY2FFDlmpA,2020-04-01 18:36:25,en,"[{'text': 'ChinaVirus', 'indices': [71, 82]}, {'text': 'Corona', 'indices': [83, 90]}]",[],"New Delhi, India",,
26,1245419953651462152,150764855,@desimojito Leave corona treat these rascals first,2020-04-01 18:37:10,en,[],[],"Bengaluru, India",,
27,1245420262893346816,269930371,Your excellency @jdhankhar1 Sir I am writing from Kolkata.We all know that 7 persons died in Kolkata having COVIT-19 and some other symptoms which get fatal due to Corona.Our CM is hiding the fact and saying that 4 deaths are due to other reasons.I am requesting your intervention,2020-04-01 18:38:24,en,[],[],"Kolkata, India",,
28,1245420464891023360,495841529,Horrifying https://t.co/gpsd2Yrcn6,2020-04-01 18:39:12,en,[],[],,,
29,1245420557840953344,2780154678,"There are no corona positive case in nizamuddin ?
@sardanarohit @RubikaLiyaquat @aajtak @ABPNews @indiatv @AMISHDEVGAN @narendramodi @INCIndia https://t.co/vMj3aJjA7A",2020-04-01 18:39:34,en,[],[],,,
30,1245420600849395712,75307378,Sometimes I think China has underdisclosed no of deaths &amp; cases of #ChinaVirus #Corona. My gut feel says deaths in China alone must be close to 1.5 Crores now. It wants to get rid of old ppl 2 reduce its citizens avge age &amp; gap wid India @CPDelhi @Ogilvy @Saliltoday #ChinaMindset https://t.co/iiHC3ZwNA2 https://t.co/A3K1Q3sw9m,2020-04-01 18:39:44,en,"[{'text': 'ChinaVirus', 'indices': [71, 82]}, {'text': 'Corona', 'indices': [83, 90]}, {'text': 'ChinaMindset', 'indices': [275, 288]}]",[],"New Delhi, India",,
31,1245420650732216321,113889258,"When #NamasteTrump was arranged, till then there were 80 th Corona suspected patients &amp; more than 2600 deaths all over world. How could a PM, put his people in risk by gathering a mob in lakhs. @anjanaomkashyap @sardesairajdeep @sudhirchaudhary @awasthis @RanaAyyub @fayedsouza",2020-04-01 18:39:56,en,"[{'text': 'NamasteTrump', 'indices': [5, 18]}]",[],"Ulhasnagar, India",,
32,1245420652397395968,1106738350159872000,@dharmicverangna In Italy liberals  termed as Sinophobia aka now terming the Nizamuddin Tablique fiasco spreading Corona news racial and Islamophobic. This will result in India competing with Italy vis a vis Corona.The liberals and peace lovers have already started compaign before they R rounded. https://t.co/1TPv8NhOQL,2020-04-01 18:39:56,en,[],[],Ranchi&surrounding Coalfields.,,
33,1245420757955428354,301450093,@dharmendra135 @shahid_siddiqui Another from your peaceful community ....Is it not corona Jihadh,2020-04-01 18:40:22,en,[],[],India,,
34,1245421067474096129,1187741351917608961,Corona is a global epidemic. What is the tabloid media spread in Italy and America and Spain?🇨🇳🇬🇧🇮🇹🤔🤔❓❔,2020-04-01 18:41:35,en,[],[],"Ahmadabad City, India",,
35,1245421488259252224,1704605556,"Jihadis attacked on health workers in Silawat Pura area, Indore. Health workers were on duty to find out the positive cases of corona. #COVID19Pandemic https://t.co/WuBEraAe6H",2020-04-01 18:43:16,en,"[{'text': 'COVID19Pandemic', 'indices': [135, 151]}]",[],Ahmedabad (india),,
36,1245421490301857797,1190650084410544128,@PMOIndia @UPGovt @narendramodi where we can test my father related about Corona. I think he is suffered from Corona.,2020-04-01 18:43:16,en,[],[],"Bareilly, India",,
37,1245421592554823680,613482935,@emNikhil Hey nikhil hows your corona test result,2020-04-01 18:43:41,en,[],[],"New Delhi, India",,
38,1245421670786977792,954422716794195968,@Imamofpeace Not lier his Name is Corona Virus,2020-04-01 18:43:59,en,[],[],India,,
39,1245422059494109185,3182478097,"This Is how we Treat Our Doctors 🥺 feeling ashamed after seeing all these things Indore , India 🇮🇳 they went to see a patient which have a symptoms of corona virus and see how people are doing #coronavirusindia #CoronaJihad @republic @ABPNews @aajtak @BrutIndia @TheQuint https://t.co/wytWtIFAuh",2020-04-01 18:45:32,en,"[{'text': 'coronavirusindia', 'indices': [193, 210]}, {'text': 'CoronaJihad', 'indices': [211, 223]}]",[],,,
40,1245422224489644032,1683831492,@republic why this is happening evewhete in country? Fyi !!!! @sardesairajdeep https://t.co/S48BNwJzIk,2020-04-01 18:46:11,en,[],[],Ahmedabad,,
41,1245422433818963968,4485744253,"Ek gaana Maa ki jai jaikara🙏
Ishwar kre apna desh jald Corona Mukt ho jaye 🙏 Plz support our government.They are doing amazing job to keep us safe.🙏
#SaluteToAllFrontliners
#StayHome 
#StaySafe
@narendramodi
@NitishKumar 
@girirajsinghbjp 
@ABPNews 
@aajtak 
@RajatSharmaLive https://t.co/67xxbAYZHi",2020-04-01 18:47:01,en,"[{'text': 'SaluteToAllFrontliners', 'indices': [149, 172]}, {'text': 'StayHome', 'indices': [173, 182]}, {'text': 'StaySafe', 'indices': [184, 193]}]",[],India,,
42,1245422511698792449,488313491,Typo AIDS untadi https://t.co/ftprlttDVL,2020-04-01 18:47:20,en,[],[],ananthpuram.ap ,,
43,1245422511698792449,488313491,Typo AIDS untadi https://t.co/ftprlttDVL,2020-04-01 18:47:20,en,[],[],ananthpuram.ap ,,
44,1245422563267768321,1562564844,Now @MumbaiPolice should take you for isolation for proper treatment! 🙏🏻 https://t.co/RIEImyVNAK,2020-04-01 18:47:32,en,[],[],"Bhanvad, DevBhumi Dwarka",,
45,1245422655492124672,1356425180,Don't waste Humanity on them please😫🙏🙏💓 https://t.co/FJCsCNdseA,2020-04-01 18:47:54,en,[],[],"Karimnagar, India",,
46,1245422718729637888,1436344382,"136 Corona positive cases are fully recovered in India 🙏

#IndiaFightsCOVID19",2020-04-01 18:48:09,en,"[{'text': 'IndiaFightsCOVID19', 'indices': [58, 77]}]",[],"Noida ,Uttar Pradesh, India",,
47,1245422723016212481,2906126275,"I request @bargarhpolice to please lockdown small villages like LAUMUNDA, ARDA, PATHARLA, BIJEPUR, PADA ETC properly. People are not aware here. Just a single positive case will make all of them suffer.

People here are celebrating holidays in gatherings. Please send some troops. https://t.co/7SwE2APWxo",2020-04-01 18:48:10,en,[],[],"Bargarh, India",,
48,1245422718729637888,1436344382,"136 Corona positive cases are fully recovered in India 🙏

#IndiaFightsCOVID19",2020-04-01 18:48:09,en,"[{'text': 'IndiaFightsCOVID19', 'indices': [58, 77]}]",[],"Noida ,Uttar Pradesh, India",,
49,1245422723016212481,2906126275,"I request @bargarhpolice to please lockdown small villages like LAUMUNDA, ARDA, PATHARLA, BIJEPUR, PADA ETC properly. People are not aware here. Just a single positive case will make all of them suffer.

People here are celebrating holidays in gatherings. Please send some troops. https://t.co/7SwE2APWxo",2020-04-01 18:48:10,en,[],[],"Bargarh, India",,
50,1245422723016212481,2906126275,"I request @bargarhpolice to please lockdown small villages like LAUMUNDA, ARDA, PATHARLA, BIJEPUR, PADA ETC properly. People are not aware here. Just a single positive case will make all of them suffer.

People here are celebrating holidays in gatherings. Please send some troops. https://t.co/7SwE2APWxo",2020-04-01 18:48:10,en,[],[],"Bargarh, India",,
51,1245422779601571840,49931437,". @IndoreDIG
@DGP_MP 
@CMMadhyaPradesh
This is terrible! Such hooligans must be shown no mercy and the full weight of law brought down on them. https://t.co/1YyQ25Mdfb",2020-04-01 18:48:24,en,[],[],"New Delhi, India",,
52,1245422779601571840,49931437,". @IndoreDIG
@DGP_MP 
@CMMadhyaPradesh
This is terrible! Such hooligans must be shown no mercy and the full weight of law brought down on them. https://t.co/1YyQ25Mdfb",2020-04-01 18:48:24,en,[],[],"New Delhi, India",,
53,1245423021751296000,361190112,"Completely agreed with you sir 

@shrutikagupta80 @Rohangupta1710 @smritiirani @AnupDevops @ProudyMuslim @jenniferatntd https://t.co/ND1URkmotq",2020-04-01 18:49:21,en,[],[],Chandigarh,,
54,1245423056970899456,2542909760,"India and Germany to share medical technology to fight Corona
https://t.co/7eBmSGbJ1q

@pvchr @narendramodi
@PMOIndia @GermanyinIndia
@AmbLindnerIndia
@myogioffice @RahulGandhi
@Naveen_Odisha
#IndoGerman #COVOD19 #IndoGermanCoporation #FightCorona #Corona #PVCHR #JanMitraNyas",2020-04-01 18:49:30,en,"[{'text': 'IndoGerman', 'indices': [192, 203]}, {'text': 'COVOD19', 'indices': [204, 212]}, {'text': 'IndoGermanCoporation', 'indices': [213, 234]}, {'text': 'FightCorona', 'indices': [235, 247]}, {'text': 'Corona', 'indices': [248, 255]}, {'text': 'PVCHR', 'indices': [256, 262]}, {'text': 'JanMitraNyas', 'indices': [263, 276]}]",[],Tweet/RTis not my endorsement ,,
55,1245423063803428864,123639978,Are you all staying at home? #QuarentineLife #StayHomeStaySafe #CoronaUpdatesInIndia #Corona #CoronaAlert #StayConnected #CoronaStopKaroNa #Coronafighters #coronavirusinindia,2020-04-01 18:49:31,en,"[{'text': 'QuarentineLife', 'indices': [29, 44]}, {'text': 'StayHomeStaySafe', 'indices': [45, 62]}, {'text': 'CoronaUpdatesInIndia', 'indices': [63, 84]}, {'text': 'Corona', 'indices': [85, 92]}, {'text': 'CoronaAlert', 'indices': [93, 105]}, {'text': 'StayConnected', 'indices': [106, 120]}, {'text': 'CoronaStopKaroNa', 'indices': [121, 138]}, {'text': 'Coronafighters', 'indices': [139, 154]}, {'text': 'coronavirusinindia', 'indices': [155, 174]}]",[],,,
56,1245423084536020993,1225750462676160512,"Wishing everyone very Happy Ram Navami!
May Lord Rama bless the world with good health. 
Stay Home, Stay Safe! 

#ramnavami #jaishriram
#corona #coronavirus #mohfw #covid #staysafe #stayhome 
#tofu #tofurecipes #shiomfoods #soyapaneer #soybeans #soy #vegan #veganlife #veganrecipe https://t.co/kgzQI2GagW",2020-04-01 18:49:36,en,"[{'text': 'ramnavami', 'indices': [113, 123]}, {'text': 'jaishriram', 'indices': [124, 135]}, {'text': 'corona', 'indices': [136, 143]}, {'text': 'coronavirus', 'indices': [144, 156]}, {'text': 'mohfw', 'indices': [157, 163]}, {'text': 'covid', 'indices': [164, 170]}, {'text': 'staysafe', 'indices': [171, 180]}, {'text': 'stayhome', 'indices': [181, 190]}, {'text': 'tofu', 'indices': [192, 197]}, {'text': 'tofurecipes', 'indices': [198, 210]}, {'text': 'shiomfoods', 'indices': [211, 222]}, {'text': 'soyapaneer', 'indices': [223, 234]}, {'text': 'soybeans', 'indices': [235, 244]}, {'text': 'soy', 'indices': [245, 249]}, {'text': 'vegan', 'indices': [250, 256]}, {'text': 'veganlife', 'indices': [257, 267]}, {'text': 'veganrecipe', 'indices': [268, 280]}]",[],"Nashik, India",,
57,1245423311242162181,60645685,"Hatsoff &amp; big salute to your team sir in this times of great war against corona all are working as superheroes for this city, state &amp; country and above all mankind @prabhatfire @mybmc @CMOMaharashtra https://t.co/FL425i2TIV",2020-04-01 18:50:30,en,[],[],Mumbai,,
58,1245423320859738113,777176290868637696,Such people should be shot on sight https://t.co/lLkXZ1I931,2020-04-01 18:50:33,en,[],[],"Mumbai, India",,
59,1245423403487490050,400147498,More #corona in #Assam https://t.co/FWW7SDIyzT,2020-04-01 18:50:52,en,"[{'text': 'corona', 'indices': [5, 12]}, {'text': 'Assam', 'indices': [16, 22]}]",[],"Guwahati, India",,
60,1245423409498066944,36740477,Cooked meals prepared by @heromotocorp being distributed with the cooperation of the Gurgaon Police at a labour camp on the outskirts of Gurgaon. | #heromotocorp #fooddistribution #covid_19 #corona #lockdown… https://t.co/rI4GhbL6sf,2020-04-01 18:50:54,en,"[{'text': 'heromotocorp', 'indices': [148, 161]}, {'text': 'fooddistribution', 'indices': [162, 179]}, {'text': 'covid_19', 'indices': [180, 189]}, {'text': 'corona', 'indices': [190, 197]}, {'text': 'lockdown', 'indices': [198, 207]}]",[],"New Delhi, India","{'type': 'Point', 'coordinates': [77.07046509, 28.48000847]}",
61,1245423582945013760,594229250,@narendramodi @HMOIndia Half of the Indians will lose their life due to corona and half due to these musaltas mullahs whatever...if being in government can't you take strong actions then there's no meaning at all to be in centre...what's the difference between you and UPA ??,2020-04-01 18:51:35,en,[],[],"Vapi, India",,
62,1245423812448931840,2311944036,"@IndiaToday @nolanentreeo Need for sefty, save you by Corona.",2020-04-01 18:52:30,en,[],[],Muzaffarpur,,
63,1245423843474149376,2201387360,@AmitShah @HMOIndia sir please 🙏 https://t.co/jZXTh0lZ0K,2020-04-01 18:52:37,en,[],[],"Patna, India",,
64,1245424097439277056,138138510,This community is dangerous virus than corona . Are we closed our eyes?? Cannot we see these bastards community everywhere involve in antiindia activities &amp; always hide in mosque. Mosque of this country has become new home of muslim terrorist.. https://t.co/vpmfU37ChJ,2020-04-01 18:53:38,en,[],[],,,
65,1245424244739018759,858278421889036288,"Watch this video 
Explaining why Corona is dangerous &amp; not something to be taken lightly. 
https://t.co/IsyRQSULkP
#COVIDー19 #COVID19Pandemic #SocialDistanacing #coronavirus",2020-04-01 18:54:13,en,"[{'text': 'COVIDー19', 'indices': [119, 128]}, {'text': 'COVID19Pandemic', 'indices': [129, 145]}, {'text': 'SocialDistanacing', 'indices': [146, 164]}, {'text': 'coronavirus', 'indices': [165, 177]}]",[],India,,
66,1245424270089408512,1225395264,@news24tvchannel what's this you call https://t.co/QhPNDCnSjU,2020-04-01 18:54:19,en,[],[],Mumbai,,
67,1245424274531221505,1096085319638671360,@Grovs07 @rahulkanwal @prateekkanwal And Congee-Commie chamchas providing cover fire to Islamic Corona Spreading Rascals.,2020-04-01 18:54:20,en,[],[],,,
68,1245424737691598848,266562633,"This was shameful @RGVzoomin 
Can any one take action on him @PMOIndia @CMOMaharashtra @MumbaiPolice https://t.co/9TLKDxp2mM",2020-04-01 18:56:10,en,[],[],"Nashik, India",,
69,1245424875960823808,49238952,"Ramanavami - Foundation day of Bharatiya Shikshan Mandal. 
Contact : 5 new persons,
Contribute: BSM Corona fund (bsmbharat@upi)
Celebrate: At home with whole family. (DM for details)
tune in to BSM official Facebook page at 6 PM. 
Pl spread the word to all your contacts https://t.co/T1elpvX39l",2020-04-01 18:56:43,en,[],[],,,
70,1245424889080745985,390215516,"jai Sri Ram....

lets Pray to the lord rama.  to get well soon from the corona 
 stay home stay safe!!

Happy Ram Navami to sll
#ramnavmi #ramlaxmanjanki #veerhanuman #jaibajrangbali @ Errum Manzil https://t.co/FpzjO6m12G",2020-04-01 18:56:47,en,"[{'text': 'ramnavmi', 'indices': [128, 137]}, {'text': 'ramlaxmanjanki', 'indices': [138, 153]}, {'text': 'veerhanuman', 'indices': [154, 166]}, {'text': 'jaibajrangbali', 'indices': [167, 182]}]",[],"Hyderabad, India","{'type': 'Point', 'coordinates': [78.455, 17.41944444]}",
71,1245425015815729152,738977910992732160,"This is shameful and then these guys would play the Minority community card..... Disgusting.
Iron clad hands are needed 2 manage India, else we are in dire straits. https://t.co/E91LCQmUXw",2020-04-01 18:57:17,en,[],[],"New Delhi, India",,
72,1245425121075945474,2472730064,@threadreaderapp unroll https://t.co/eqsIvNyXBS,2020-04-01 18:57:42,en,[],[],"New Delhi, India",,
73,1245425139879206913,1449676464,"@Airtel_Presence @kishorerk97 Corona nahi hota , tab bhi tum kuch nahi karte ,

1st April is April fool day 
But
Airtel is making everyday Fool.

Trying to reach them told them slow internet since 3 month but still no updates??

@Airtel_Presence @airtelindia 😡
Now porting to idea earlier",2020-04-01 18:57:46,en,[],[],"पुणे, महाराष्ट्र",,
74,1245425389985353729,1239474567493464065,@ashoswai Must be provide medical equipments  either all the doctors will be effected by #corona and their patients too . #delhigoverment.@ArvindKejriwal,2020-04-01 18:58:46,en,"[{'text': 'corona', 'indices': [89, 96]}, {'text': 'delhigoverment', 'indices': [122, 137]}]",[],gonda 43 up,,
75,1245425757284777984,367589677,"@realDonaldTrump What if this corona was planned for usa election by democrats and china , italy spain india etc are just a victim in this.. @NikunjGargN",2020-04-01 19:00:14,en,[],[],"Bengaluru, India",,
76,1245425834493526017,1855035565,"Thankfully, our curve is still on the flatter side. Maybe, we would have shown a dip, had these stupid bearded people not acted so stupid! But we certainly have learnt a lesson or two. https://t.co/ivLE9b2k16",2020-04-01 19:00:32,en,[],[],Bangalore,,
77,1245425911605817345,2827847372,WE WILL WE WILL ROCK YOU! SING IT!! Freddy Mercury will like the beats they are producing here. https://t.co/uuvLqm2Vx7,2020-04-01 19:00:50,en,[],[],New Delhi,,
78,1245426105831403521,990363781,@YusufDFI @mohan_melody Surprised  to see @shahid_siddiqui  going  on about  azim premji  s contribution  to corona  fund ..wondered  if he was a Sunni  Muslim,2020-04-01 19:01:37,en,[],[],India,,
79,1245426336505769986,3097253893,Yes now #TablighiJamat are unguided missiles for us we neve know when where how they will blast #BanJahilJamat https://t.co/PX1vSSvmpA,2020-04-01 19:02:32,en,"[{'text': 'TablighiJamat', 'indices': [8, 22]}, {'text': 'BanJahilJamat', 'indices': [96, 110]}]",[],"Nagpur, Maharashtra India",,
80,1245426420571967488,43500847,"Don’t count it Political, but analyse yourself, why Sensible voting matters. 

Top 5 States with #corona confirmed cases.

Wish these states would have competent Government to deal with #Corona !! https://t.co/fp0jERBNVq",2020-04-01 19:02:52,en,"[{'text': 'corona', 'indices': [97, 104]}, {'text': 'Corona', 'indices': [186, 193]}]",[],New Delhi - India,,
81,1245426496405004288,1110616021499609088,@narendramodi Small contribution to fight against the corona..Jay hind. https://t.co/Epwz1cHuGR,2020-04-01 19:03:10,en,[],[],"Navi Mumbai, India",,
82,1245426548296933376,356104964,11 times the RT's are likes.... Kuch samjhe Daya?...... https://t.co/kBBFV8jIbF,2020-04-01 19:03:22,en,[],[],Mumbai,,
83,1245426916896595970,1011216919,"@HMOIndia Sir, please see what the hell is going on https://t.co/dqXcTsbjY5",2020-04-01 19:04:50,en,[],[],New Delhi,,
84,1245427023960403968,87155067,This is both disgusting and upsetting @AmitShah ji. https://t.co/y1ik6M5AQU,2020-04-01 19:05:16,en,[],[],🇮🇳 ,,
85,1245427046953570306,156588467,Rescinded my New York trip amidst this Corona Virus 🦠 COVID-19 lockdown.,2020-04-01 19:05:21,en,[],[],Jaipur,,
86,1245427116390273024,1456199178,"@narendramodi sir you're doing great job to save us from Corona virus, even Maharashtra c.m is doing good job, but this is not enuff,  some community members they will not understand,  they will understand only military language, time for military to step inn to save India.",2020-04-01 19:05:38,en,[],[],,,
87,1245427166436720640,63690736,"#Zoom becomes India's top #Android app ahead of WhatsApp, TikTok. https://t.co/PCuqCl0Cbv",2020-04-01 19:05:50,en,"[{'text': 'Zoom', 'indices': [0, 5]}, {'text': 'Android', 'indices': [26, 34]}]",[],Bengaluru,,
88,1245427216902569985,113601509,"#WhatCoronaTaught - 11

Some combinations don’t work just like mixing religion n politics with a pandemic like Corona!

Dangerous are those braggarts on loquacious news channels who indulge in nothing but absolute malarkey!

#StayHomeStaySafe 

@TimesNow @republic @indiatvnews https://t.co/lpskC50xBA",2020-04-01 19:06:02,en,"[{'text': 'WhatCoronaTaught', 'indices': [0, 17]}, {'text': 'StayHomeStaySafe', 'indices': [225, 242]}]",[],Hyderabad,,
89,1245427227254087682,1101790265415675904,Dear CM @MamataOfficial madam kindly consider my request please... https://t.co/nr4o88GhSa,2020-04-01 19:06:04,en,[],[],"Garden Reach, Kolkata",,
90,1245427322187960320,107957857,#Corona 30 news cases in Telangana. Total 9 deaths so far in #Telangana. Two deaths in  Gandhi and one in Yashoda hospital on Wednesday:CM KCR,2020-04-01 19:06:27,en,"[{'text': 'Corona', 'indices': [0, 7]}, {'text': 'Telangana', 'indices': [61, 71]}]",[],"Hyderabad, India",,
91,1245427519005679616,3657413425,@PMOIndia @AmitShahOffice pls sir note this https://t.co/h85Q3o39g0,2020-04-01 19:07:14,en,[],[],"Bengaluru, India",,
92,1245427563607937024,56689420,"9 out of 10 Covid-19 positive patients of Gurugram discharged...
...
https://t.co/DgDrkYKhgi

Download for Android
https://t.co/yBLPoxgFOn
Download for iOS
https://t.co/PlPrOGIQd2",2020-04-01 19:07:24,en,[],[],Delhi,,
